ref,barrio,anio,bruto,fijos,resultado_antes_ir,flujo_neto,flujo_descontado,flujo_acumulado
W05.102,Copacabana,0,0,0,-1279750.0,-1279750.0,-1279750.0,-1279750.0
W05.102,Copacabana,1,53309,19339,21709.0,20081.0,18746.0,-1259669.0
W05.102,Copacabana,2,55441,20020,22670.0,20970.0,18275.0,-1238699.0
W05.102,Copacabana,3,57659,20729,23669.0,21893.0,17812.0,-1216806.0
W05.102,Copacabana,4,59965,21466,24707.0,22854.0,17357.0,-1193952.0
W05.102,Copacabana,5,62364,22233,25788.0,23854.0,16912.0,-1170098.0
W05.102,Copacabana,6,64859,23030,26911.0,24893.0,16476.0,-1145205.0
W05.102,Copacabana,7,67453,23859,28080.0,25974.0,16049.0,-1119232.0
W05.102,Copacabana,8,70151,24722,29295.0,27098.0,15630.0,-1092134.0
W05.102,Copacabana,9,72957,25618,30559.0,28267.0,15221.0,-1063868.0
W05.102,Copacabana,10,75875,26551,31873.0,1875987.0,943027.0,812119.0
W06.914,Copacabana,0,0,0,-1842000.0,-1842000.0,-1842000.0,-1842000.0
W06.914,Copacabana,1,86101,41898,24400.0,22570.0,21070.0,-1819430.0
W06.914,Copacabana,2,89545,43446,25504.0,23591.0,20559.0,-1795839.0
W06.914,Copacabana,3,93127,45056,26652.0,24653.0,20057.0,-1771186.0
W06.914,Copacabana,4,96852,46730,27846.0,25758.0,19562.0,-1745428.0
W06.914,Copacabana,5,100726,48471,29088.0,26906.0,19077.0,-1718522.0
W06.914,Copacabana,6,104755,50282,30379.0,28101.0,18599.0,-1690421.0
W06.914,Copacabana,7,108945,52165,31723.0,29343.0,18131.0,-1661078.0
W06.914,Copacabana,8,113303,54124,33119.0,30636.0,17671.0,-1630442.0
W06.914,Copacabana,9,117835,56161,34572.0,31979.0,17220.0,-1598463.0
W06.914,Copacabana,10,122548,58279,36083.0,2602426.0,1308196.0,1003963.0
W06.931,Copacabana,0,0,0,-1925499.9999999998,-1925499.9999999998,-1925499.9999999998,-1925499.9999999998
W06.931,Copacabana,1,86101,51319,14978.0,13855.0,12934.0,-1911645.0
W06.931,Copacabana,2,89545,53236,15713.0,14535.0,12667.0,-1897110.0
W06.931,Copacabana,3,93127,55230,16478.0,15242.0,12400.0,-1881869.0
W06.931,Copacabana,4,96852,57303,17273.0,15977.0,12135.0,-1865891.0
W06.931,Copacabana,5,100726,59459,18100.0,16742.0,11870.0,-1849149.0
W06.931,Copacabana,6,104755,61701,18960.0,17538.0,11608.0,-1831611.0
W06.931,Copacabana,7,108945,64033,19854.0,18365.0,11348.0,-1813246.0
W06.931,Copacabana,8,113303,66459,20784.0,19226.0,11090.0,-1794020.0
W06.931,Copacabana,9,117835,68981,21752.0,20120.0,10834.0,-1773900.0
W06.931,Copacabana,10,122548,71604,22758.0,2750666.0,1382713.0,976766.0
W06.935,Ipanema,0,0,0,-1794249.9999999998,-1794249.9999999998,-1794249.9999999998,-1794249.9999999998
W06.935,Ipanema,1,83326,20968,43193.0,39954.0,37298.0,-1754296.0
W06.935,Ipanema,2,86660,21675,45053.0,41674.0,36318.0,-1712622.0
W06.935,Ipanema,3,90126,22410,46987.0,43463.0,35360.0,-1669159.0
W06.935,Ipanema,4,93731,23174,48999.0,45324.0,34423.0,-1623835.0
W06.935,Ipanema,5,97480,23969,51091.0,47259.0,33507.0,-1576576.0
W06.935,Ipanema,6,101379,24796,53266.0,49271.0,32612.0,-1527304.0
W06.935,Ipanema,7,105435,25656,55529.0,51364.0,31737.0,-1475940.0
W06.935,Ipanema,8,109652,26550,57882.0,53541.0,30883.0,-1422399.0
W06.935,Ipanema,9,114038,27480,60329.0,55805.0,30049.0,-1366594.0
W06.935,Ipanema,10,118600,28447,62875.0,2707491.0,1361010.0,1340897.0
W06.922,Ipanema,0,0,0,-2125750.0,-2125750.0,-2125750.0,-2125750.0
W06.922,Ipanema,1,65800,42235,8430.0,7798.0,7280.0,-2117952.0
W06.922,Ipanema,2,68432,43769,8924.0,8254.0,7193.0,-2109698.0
W06.922,Ipanema,3,71169,45364,9436.0,8729.0,7101.0,-2100969.0
W06.922,Ipanema,4,74016,47022,9970.0,9222.0,7004.0,-2091747.0
W06.922,Ipanema,5,76976,48747,10525.0,9735.0,6902.0,-2082011.0
W06.922,Ipanema,6,80055,50541,11102.0,10269.0,6797.0,-2071742.0
W06.922,Ipanema,7,83258,52407,11702.0,10824.0,6688.0,-2060918.0
W06.922,Ipanema,8,86588,54347,12326.0,11401.0,6576.0,-2049517.0
W06.922,Ipanema,9,90051,56365,12975.0,12002.0,6463.0,-2037515.0
W06.922,Ipanema,10,93653,58463,13650.0,3143655.0,1580262.0,1106140.0
W06.924,Lagoa,0,0,0,-1651400.0,-1651400.0,-1651400.0,-1651400.0
W06.924,Lagoa,1,29906,23631,-603.0,-603.0,-563.0,-1652003.0
W06.924,Lagoa,2,31102,24455,-506.0,-506.0,-441.0,-1652509.0
W06.924,Lagoa,3,32347,25311,-404.0,-404.0,-329.0,-1652913.0
W06.924,Lagoa,4,33640,26202,-299.0,-299.0,-227.0,-1653212.0
W06.924,Lagoa,5,34986,27129,-189.0,-189.0,-134.0,-1653401.0
W06.924,Lagoa,6,36386,28092,-75.0,-75.0,-50.0,-1653476.0
W06.924,Lagoa,7,37841,29094,43.0,40.0,25.0,-1653436.0
W06.924,Lagoa,8,39355,30136,167.0,154.0,89.0,-1653282.0
W06.924,Lagoa,9,40929,31220,295.0,273.0,147.0,-1653009.0
W06.924,Lagoa,10,42566,32347,428.0,2440993.0,1227046.0,787984.0
W06.481,Gávea,0,0,0,-2312500.0,-2312500.0,-2312500.0,-2312500.0
W06.481,Gávea,1,31085,36908,-12972.0,-12972.0,-12110.0,-2325472.0
W06.481,Gávea,2,32329,38216,-13323.0,-13323.0,-11611.0,-2338795.0
W06.481,Gávea,3,33622,39577,-13688.0,-13688.0,-11136.0,-2352483.0
W06.481,Gávea,4,34967,40992,-14068.0,-14068.0,-10684.0,-2366551.0
W06.481,Gávea,5,36365,42463,-14462.0,-14462.0,-10254.0,-2381013.0
W06.481,Gávea,6,37820,43994,-14873.0,-14873.0,-9844.0,-2395886.0
W06.481,Gávea,7,39333,45586,-15300.0,-15300.0,-9453.0,-2411185.0
W06.481,Gávea,8,40906,47241,-15744.0,-15744.0,-9081.0,-2426929.0
W06.481,Gávea,9,42542,48963,-16205.0,-16205.0,-8726.0,-2443134.0
W06.481,Gávea,10,44244,50753,-16686.0,3355192.0,1686598.0,912057.0
W06.936,Lagoa,0,0,0,-2760750.0,-2760750.0,-2760750.0,-2760750.0
W06.936,Lagoa,1,51147,33702,5681.0,5255.0,4906.0,-2755495.0
W06.936,Lagoa,2,53193,34846,6113.0,5654.0,4927.0,-2749841.0
W06.936,Lagoa,3,55321,36036,6561.0,6069.0,4937.0,-2743772.0
