ref,barrio,m2,dorm,precio,cond_mes,iptu,notas,n_comparables,tarifa_med,noches_airbnb_med,tarifa_p75,noches_airbnb_p75,be_noches_airbnb,inversion,bruto_base,fijos_base,noi_base,cap_base,van_base,tir_base,bruto_alto,fijos_alto,noi_alto,cap_alto,van_alto,tir_alto,valor_residual
W06.620,Ipanema,138,4,2945000,2199,9130,reformado,63,2460.0,90.0,3743.2,153.0,22.160617924029204,3215525.0,287820.0,42356.0,179265.4,0.0557499630697942,584393.2921668207,0.09340430763773722,744522.48,42683.6,530598.7096000001,0.16501153298450488,3356566.8568053017,0.19867948174937233,4728656.30406025
W06.935,Ipanema,70,2,1650000,1147,2370,recepción 24h,891,856.0,72.0,1227.0,156.0,30.397484430333375,1794249.9999999998,80121.6,20288.4,41405.232,0.023076623658910413,-131052.53566335165,0.062289777176708916,248835.6,20725.2,170878.212,0.095236567925317,890545.9370223325,0.13174146158676547,2649332.054906422
W05.102,Copacabana,78,2,1150000,1100,2360,78 m2 ficha,1880,597.4200000000001,66.0,799.0,133.0,40.21811639745674,1279750.0,51258.636000000006,18683.2,20785.949720000008,0.016242195522563008,-184245.2914768163,0.05346888252313298,138147.1,19031.6,87341.66700000002,0.06824900722797422,340908.44424277765,0.10397678798955179,1846504.1594802334
W06.345,Leblon,99,3,2100000,1200,4828,"Rua Dias Ferreira, sin garaje",182,1252.0,60.0,2116.375,114.0,24.903129036290153,2293500.0,97656.0,24220.0,50975.119999999995,0.022225908000872027,-190294.09571251646,0.06106037771879136,313646.775,24500.8,217007.21675000002,0.09461836352735994,1119771.8072782226,0.13084635758849406,3371877.1607899917
W06.947,Leblon,85,2,2100000,862,5952,"sin ascensor, sin garaje",461,911.0,60.0,1247.53,120.0,30.074411802658176,2279500.0,71058.0,21288.0,33426.66,0.014664031585874097,-314759.12474008533,0.054367528135614074,194614.68,21600.0,128253.30359999998,0.05626378749725816,433464.59168066713,0.09438026166767177,3371877.1607899917
W06.914,Copacabana,170,3,1600000,2740,3475,"unidad independiente, entrada privada",966,884.5,72.0,1209.4875000000002,144.0,59.13021644893769,1842000.0,82789.20000000001,40409.4,23338.284000000007,0.01267007817589577,-361858.42142683314,0.04666299211012326,226416.06000000006,40783.8,133556.56620000006,0.07250627915309449,507812.05929864163,0.10554493637428275,2569049.265363803
W06.924,Lagoa,63,1,1520000,1292,3607,,61,553.0,40.0,685.0,108.0,53.65211825229369,1651400.0,28756.0,22839.0,-696.880000000001,-0.0004219934600944659,-425836.7709669133,0.03975464340505808,96174.0,23192.6,50861.38,0.030798946348552743,-18888.764439961407,0.06980519063333912,2440596.802095613
W06.931,Copacabana,149,3,1700000,3280,5862,ficha 149 m2 / descripción 155 m2,966,884.5,72.0,1209.4875000000002,144.0,72.521840591376,1925499.9999999998,82789.20000000001,49476.4,14271.284000000007,0.007411728901584009,-435901.50033757836,0.043108155031703066,226416.06000000006,49850.8,124489.56620000004,0.06465311150350561,433768.9803878963,0.09910418581213654,2729614.844449041
W06.922,Ipanema,88,1,1950000,2400,7113,,1218,540.76,90.0,697.0,168.0,97.7071922076738,2125750.0,63268.92,40761.0,7956.0683999999965,0.003742711231330117,-483482.51754604676,0.04342436093539559,152224.80000000002,41166.6,76046.49600000001,0.03577396024932378,53780.75422444311,0.07428931600412814,3131028.792162135
W06.936,Lagoa,96,3,2550000,1700,6445,seguridad 24h,20,1112.665,34.0,1705.75,67.5,38.02394846192396,2760750.0,49179.793000000005,32601.8,5266.640610000006,0.0019076847269763673,-653706.1656100072,0.04236728443668214,149679.5625,32776.0,82477.263125,0.029874948157203658,-44480.5647438271,0.069238027179232,4094422.266673561
W06.481,Gávea,118,3,2100000,2143,5129,edificio de 1957; comparables escasos (n=8),8,958.0,24.0,1425.0,52.0,48.42161219093313,2312500.0,29889.600000000002,35649.8,-12634.808,-0.005463700756756757,-718800.7694091432,0.03307551931085595,96330.00000000001,35795.4,38378.700000000004,0.016596194594594597,-308685.3620084443,0.0548311426742244,3371877.1607899917
W06.725,Flamengo,290,4,3220000,2689,14387,vista al mar; comparables escasos (n=4),4,642.0,36.0,826.0,64.0,109.26092099359627,3654900.0,30045.600000000002,53762.2,-30627.087999999996,-0.008379733508440722,-1307224.3243001017,0.026754578513308203,68723.2,53907.8,-990.9360000000015,-0.00027112533858655543,-1054646.9038016847,0.035352275970514824,5170211.646544654
