ref,barrio,dorm,VAN_desc_0,VAN_desc_5,VAN_desc_10,VAN_desc_15,VAN_desc_20
W05.102,Copacabana,2,-184245,-169825,-155405,-140985,-126565
W06.914,Copacabana,3,-361858,-341796,-321733,-301670,-281607
W06.931,Copacabana,3,-435902,-414585,-393268,-371951,-350634
W06.935,Ipanema,2,-131053,-110363,-89673,-68983,-48293
W06.922,Ipanema,1,-483483,-459031,-434579,-410128,-385676
W06.924,Lagoa,1,-425837,-406727,-387627,-368540,-349467
W06.481,Gávea,3,-718801,-692358,-665916,-639473,-613031
W06.936,Lagoa,3,-653706,-621731,-589756,-557781,-525805
W06.947,Leblon,2,-314759,-288427,-262094,-235762,-209429
W06.345,Leblon,3,-190294,-163962,-137629,-111297,-84964
W06.620,Ipanema,4,584393,621321,658250,695178,732106
W06.725,Flamengo,4,-1307224,-1266679,-1226134,-1185589,-1145044
