ref,barrio,dorm,VAN_gestion_0%,VAN_gestion_10%,VAN_gestion_20%,VAN_gestion_30%
W05.102,Copacabana,2,-103355,-143800,-184245,-224691
W06.914,Copacabana,3,-231210,-296534,-361858,-427183
W06.931,Copacabana,3,-305253,-370577,-435902,-501226
W06.935,Ipanema,2,-4614,-67833,-131053,-194272
W06.922,Ipanema,1,-383639,-433561,-483483,-533404
W06.924,Lagoa,1,-380327,-403016,-425837,-450329
W06.481,Gávea,3,-667808,-693304,-718801,-744297
W06.936,Lagoa,3,-576096,-614901,-653706,-692511
W06.947,Leblon,2,-202623,-258691,-314759,-370827
W06.345,Leblon,3,-36184,-113239,-190294,-267349
W06.620,Ipanema,4,1038598,811496,584393,357291
W06.725,Flamengo,4,-1255965,-1281595,-1307224,-1332854
